# 第4关"驼峰航线"波次配置
# 格式：time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
# BOSS: BOSS_ki21_squadron（一式陆攻编队）
# 难度：中高（速度倍率1.3~1.6，引入 a6m_zero 与 d3a_val，雪山峡谷场景）
time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
2.0,ki27_fighter,4,line,200,-50,1.3,straight
4.5,ki27_fighter,4,line,400,-50,1.3,straight
7.5,a6m_zero,3,diamond,300,-50,1.4,straight
10.5,ki43_hayabusa,5,v_formation,300,-50,1.3,dive
13.5,d3a_val,3,line,200,-50,1.2,straight
13.5,d3a_val,3,line,400,-50,1.2,straight
17.0,a6m_zero,4,diamond,300,-50,1.5,straight
20.5,ki21_bomber,2,line,200,-80,0.9,straight
20.5,ki21_bomber,2,line,400,-80,0.9,straight
24.0,ki43_hayabusa,6,swarm,300,-50,1.4,dive
28.0,a6m_zero,5,v_formation,300,-50,1.5,straight
32.0,d3a_val,4,diamond,200,-50,1.3,straight
32.0,d3a_val,4,diamond,400,-50,1.3,straight
36.0,ki43_hayabusa,5,line,300,-50,1.6,dive
40.0,ki21_bomber,3,v_formation,300,-80,1.0,straight
44.0,a6m_zero,6,swarm,300,-50,1.5,straight
48.0,BOSS_ki21_squadron,1,boss,300,-150,0.5,boss_enter
