# 第7关"芷江机场"波次配置
# 格式：time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
# BOSS: BOSS_shiden_squadron（紫电改中队）
# 难度：很高（速度倍率1.5~1.8，引入 j7w_shinden，机场跑道机库场景）
time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
2.0,ki84_hayate,4,line,200,-50,1.5,straight
4.5,ki84_hayate,4,line,400,-50,1.5,straight
7.5,a6m_zero,4,diamond,300,-50,1.5,straight
10.5,ki61_hien,4,v_formation,300,-50,1.5,dive
13.5,j7w_shinden,2,solo,200,-50,1.6,straight
13.5,j7w_shinden,2,solo,400,-50,1.6,straight
17.0,ki84_hayate,5,v_formation,300,-50,1.6,straight
20.5,ki43_hayabusa,6,swarm,300,-50,1.6,dive
24.0,j7w_shinden,3,diamond,300,-50,1.7,straight
28.0,a6m_zero,6,v_formation,300,-50,1.7,straight
32.0,ki84_hayate,5,diamond,200,-50,1.7,straight
32.0,ki84_hayate,5,diamond,400,-50,1.7,straight
36.0,ki61_hien,6,swarm,300,-50,1.8,dive
40.0,j7w_shinden,4,v_formation,300,-50,1.8,straight
44.0,a6m_zero,8,swarm,300,-50,1.7,straight
48.0,BOSS_shiden_squadron,1,boss,300,-150,0.6,boss_enter
