# 第8关"武汉空战"波次配置
# 格式：time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
# BOSS: BOSS_kongo（金刚号战列舰）
# 难度：极高（速度倍率1.6~2.0，全部敌机类型混编，长江城市天际线场景）
time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
2.0,a6m_zero,5,line,200,-50,1.6,straight
4.5,a6m_zero,5,line,400,-50,1.6,straight
7.5,ki84_hayate,4,diamond,300,-50,1.6,straight
10.5,ki61_hien,4,v_formation,300,-50,1.6,dive
13.5,ki45_toryu,2,solo,200,-50,1.4,straight
13.5,ki45_toryu,2,solo,400,-50,1.4,straight
17.0,j7w_shinden,3,diamond,300,-50,1.7,straight
20.5,ki21_bomber,3,line,200,-80,1.0,straight
20.5,ki21_bomber,3,line,400,-80,1.0,straight
24.0,a6m_zero,8,swarm,300,-50,1.7,dive
28.0,ki84_hayate,6,v_formation,300,-50,1.8,straight
32.0,d3a_val,5,diamond,200,-50,1.6,straight
32.0,d3a_val,5,diamond,400,-50,1.6,straight
36.0,ki61_hien,6,swarm,300,-50,1.8,dive
40.0,ki45_toryu,3,v_formation,300,-50,1.5,straight
44.0,j7w_shinden,5,diamond,300,-50,1.9,straight
48.0,a6m_zero,8,swarm,300,-50,2.0,straight
52.0,ki21_bomber,4,v_formation,300,-80,1.1,straight
56.0,BOSS_kongo,1,boss,300,-150,0.5,boss_enter
