# 第10关"上海防空"波次配置
# 格式：time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
# BOSS: BOSS_shokaku（翔鹤号航母）
# 难度：极高（速度倍率1.8~2.1，城市港口+黄浦江场景，航母多发导弹压制）
time,enemy_type,count,formation,spawn_x,spawn_y,speed_mult,path_id
2.0,a6m_zero,5,line,200,-50,1.8,straight
4.5,ki43_hayabusa,5,line,400,-50,1.8,straight
7.5,ki84_hayate,4,diamond,300,-50,1.8,straight
10.5,ki61_hien,4,v_formation,300,-50,1.8,dive
13.5,ki45_toryu,2,solo,200,-50,1.6,straight
13.5,ki45_toryu,2,solo,400,-50,1.6,straight
17.0,j7w_shinden,3,diamond,300,-50,1.9,straight
20.5,ki21_bomber,3,line,200,-80,1.2,straight
20.5,ki21_bomber,3,line,400,-80,1.2,straight
24.0,a6m_zero,8,swarm,300,-50,1.9,dive
28.0,ki84_hayate,6,v_formation,300,-50,2.0,straight
32.0,d3a_val,5,diamond,200,-50,1.8,straight
32.0,d3a_val,5,diamond,400,-50,1.8,straight
36.0,ki61_hien,6,swarm,300,-50,2.0,dive
40.0,ohka_kamikaze,2,solo,200,-50,2.1,straight
40.0,ohka_kamikaze,2,solo,400,-50,2.1,straight
44.0,j7w_shinden,5,diamond,300,-50,2.0,straight
48.0,a6m_zero,8,swarm,300,-50,2.1,straight
52.0,ki21_bomber,4,v_formation,300,-80,1.3,straight
56.0,BOSS_shokaku,1,boss,300,-150,0.5,boss_enter
